feat_set,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_mse,test_r2,trees,reg_alpha,reg_lambda
L1+L5_base,3,0.02,0.7,0.8,1,10.570826530456543,10.580571174621582,185.1569366455078,0.2608950138092041,282,,
L1+L5_base,3,0.02,0.7,0.8,3,10.567519187927246,10.586551666259766,185.12200927734375,0.26103442907333374,284,,
L1+L5_base,3,0.02,0.7,0.8,5,10.562270164489746,10.582618713378906,185.1312713623047,0.260997474193573,282,,
L1+L5_base,3,0.02,0.7,0.8,10,10.569701194763184,10.566651344299316,185.05535888671875,0.2613005042076111,237,,
L1+L5_base,3,0.02,0.8,0.6,1,10.552964210510254,10.56057357788086,184.44252014160156,0.26374679803848267,282,,
L1+L5_base,3,0.02,0.8,0.6,3,10.548367500305176,10.580218315124512,184.7657928466797,0.26245641708374023,384,,
L1+L5_base,3,0.02,0.8,0.6,5,10.55187702178955,10.560338973999023,184.6157684326172,0.2630552649497986,250,,
L1+L5_base,3,0.02,0.8,0.6,10,10.530573844909668,10.569575309753418,184.71762084960938,0.26264864206314087,384,,
L1+L5_base,3,0.02,0.8,0.7,1,10.540848731994629,10.598912239074707,185.69003295898438,0.2587670683860779,388,,
L1+L5_base,3,0.02,0.8,0.7,3,10.536712646484375,10.597681999206543,185.50430297851562,0.2595084309577942,410,,
L1+L5_base,3,0.02,0.8,0.7,5,10.560583114624023,10.574896812438965,185.04441833496094,0.26134419441223145,230,,
L1+L5_base,3,0.02,0.8,0.7,10,10.55406665802002,10.568005561828613,185.049560546875,0.26132363080978394,225,,
L1+L5_base,3,0.02,0.8,0.8,1,10.55710506439209,10.581451416015625,185.5308380126953,0.2594025135040283,384,,
L1+L5_base,3,0.02,0.8,0.8,3,10.56291389465332,10.562172889709473,184.81948852539062,0.26224201917648315,237,,
L1+L5_base,3,0.02,0.8,0.8,5,10.5524320602417,10.592219352722168,185.67538452148438,0.25882554054260254,377,,
L1+L5_base,3,0.02,0.8,0.8,10,10.562259674072266,10.585639953613281,185.29278564453125,0.2603527903556824,377,,
L1+L5_base,3,0.03,0.6,0.6,1,10.559004783630371,10.609000205993652,185.8237762451172,0.2582331895828247,217,,
L1+L5_base,3,0.03,0.6,0.6,3,10.54665470123291,10.612527847290039,185.79571533203125,0.25834518671035767,267,,
L1+L5_base,3,0.03,0.6,0.6,5,10.542006492614746,10.614062309265137,185.68605041503906,0.25878292322158813,270,,
L1+L5_base,3,0.03,0.6,0.6,10,10.571561813354492,10.594097137451172,185.3367156982422,0.2601774334907532,133,,
L1+L5_base,3,0.03,0.6,0.7,1,10.549351692199707,10.601937294006348,185.51901245117188,0.25944972038269043,190,,
L1+L5_base,3,0.03,0.6,0.7,3,10.54863452911377,10.608048439025879,185.80316162109375,0.25831544399261475,182,,
L1+L5_base,3,0.03,0.6,0.7,5,10.559855461120605,10.610057830810547,185.67330932617188,0.25883376598358154,182,,
L1+L5_base,3,0.03,0.6,0.7,10,10.574591636657715,10.600739479064941,185.58387756347656,0.25919079780578613,188,,
L1+L5_base,3,0.03,0.6,0.8,1,10.548075675964355,10.599678993225098,185.47982788085938,0.25960612297058105,182,,
L1+L5_base,3,0.03,0.6,0.8,3,10.552861213684082,10.615096092224121,185.9384002685547,0.2577756643295288,256,,
L1+L5_base,3,0.03,0.6,0.8,5,10.553910255432129,10.611416816711426,185.8704833984375,0.2580466866493225,221,,
L1+L5_base,3,0.03,0.6,0.8,10,10.565242767333984,10.583569526672363,185.11058044433594,0.2610800862312317,135,,
L1+L5_base,3,0.03,0.7,0.6,1,10.563172340393066,10.579148292541504,185.194580078125,0.26074475049972534,157,,
L1+L5_base,3,0.03,0.7,0.6,3,10.564638137817383,10.578734397888184,185.14463806152344,0.260944128036499,157,,
L1+L5_base,3,0.03,0.7,0.6,5,10.568390846252441,10.580498695373535,184.99530029296875,0.2615402340888977,157,,
L1+L5_base,3,0.03,0.7,0.6,10,10.559439659118652,10.577292442321777,185.12652587890625,0.2610164284706116,158,,
L1+L5_base,3,0.03,0.7,0.7,1,10.547411918640137,10.563872337341309,184.24693298339844,0.2645275592803955,239,,
L1+L5_base,3,0.03,0.7,0.7,3,10.556947708129883,10.560708045959473,184.5592803955078,0.2632807493209839,196,,
L1+L5_base,3,0.03,0.7,0.7,5,10.55930233001709,10.577790260314941,184.94189453125,0.2617534399032593,158,,
L1+L5_base,3,0.03,0.7,0.7,10,10.553194999694824,10.565105438232422,184.87257385253906,0.26203012466430664,196,,
L1+L5_base,3,0.03,0.7,0.8,1,10.539332389831543,10.575789451599121,184.82119750976562,0.26223522424697876,281,,
L1+L5_base,3,0.03,0.7,0.8,3,10.55084228515625,10.550999641418457,184.42872619628906,0.2638018727302551,230,,
L1+L5_base,3,0.03,0.7,0.8,5,10.553566932678223,10.560771942138672,184.551025390625,0.2633137106895447,155,,
L1+L5_base,3,0.03,0.7,0.8,10,10.547290802001953,10.556880950927734,184.67308044433594,0.26282644271850586,195,,
L1+L5_base,3,0.03,0.8,0.6,1,10.582208633422852,10.588421821594238,185.24301147460938,0.26055145263671875,151,,
L1+L5_base,3,0.03,0.8,0.6,3,10.58116626739502,10.576319694519043,184.95291137695312,0.26170945167541504,199,,
L1+L5_base,3,0.03,0.8,0.6,5,10.574055671691895,10.587053298950195,185.20339965820312,0.26070958375930786,199,,
L1+L5_base,3,0.03,0.8,0.6,10,10.575618743896484,10.577239990234375,184.8917236328125,0.2619537115097046,149,,
L1+L5_base,3,0.03,0.8,0.7,1,10.567232131958008,10.582990646362305,185.33177185058594,0.26019710302352905,200,,
L1+L5_base,3,0.03,0.8,0.7,3,10.563004493713379,10.576212882995605,185.22251892089844,0.2606332302093506,200,,
L1+L5_base,3,0.03,0.8,0.7,5,10.55479621887207,10.58346176147461,185.37123107910156,0.2600395679473877,200,,
L1+L5_base,3,0.03,0.8,0.7,10,10.552696228027344,10.57925033569336,185.19520568847656,0.26074230670928955,197,,
L1+L5_base,3,0.03,0.8,0.8,1,10.542362213134766,10.571978569030762,184.97198486328125,0.2616332769393921,204,,
L1+L5_base,3,0.03,0.8,0.8,3,10.55046272277832,10.575307846069336,185.2122344970703,0.26067429780960083,159,,
L1+L5_base,3,0.03,0.8,0.8,5,10.56338882446289,10.580500602722168,185.1166229248047,0.26105594635009766,159,,
L1+L5_base,3,0.03,0.8,0.8,10,10.55456829071045,10.585470199584961,185.1665802001953,0.2608565092086792,228,,
L1+L5_base,3,0.05,0.6,0.6,1,10.570058822631836,10.603506088256836,185.5317840576172,0.2593986988067627,128,,
L1+L5_base,3,0.05,0.6,0.6,3,10.577325820922852,10.59550666809082,185.49746704101562,0.25953567028045654,120,,
L1+L5_base,3,0.05,0.6,0.6,5,10.584806442260742,10.59381103515625,185.67613220214844,0.258822500705719,91,,
L1+L5_base,3,0.05,0.6,0.6,10,10.57820987701416,10.611223220825195,185.9757080078125,0.2576267123222351,67,,
L1+L5_base,3,0.05,0.6,0.7,1,10.553955078125,10.606630325317383,185.62295532226562,0.25903475284576416,118,,
L1+L5_base,3,0.05,0.6,0.7,3,10.550063133239746,10.58275318145752,185.0499725341797,0.261322021484375,120,,
L1+L5_base,3,0.05,0.6,0.7,5,10.556654930114746,10.616476058959961,185.6435089111328,0.2589527368545532,120,,
L1+L5_base,3,0.05,0.6,0.7,10,10.55831527709961,10.605717658996582,185.0911407470703,0.2611576318740845,120,,
L1+L5_base,3,0.05,0.6,0.8,1,10.542364120483398,10.580469131469727,184.89727783203125,0.26193153858184814,134,,
L1+L5_base,3,0.05,0.6,0.8,3,10.547659873962402,10.567594528198242,184.32797241210938,0.26420408487319946,132,,
L1+L5_base,3,0.05,0.6,0.8,5,10.577112197875977,10.581572532653809,184.4482879638672,0.26372379064559937,134,,
L1+L5_base,3,0.05,0.6,0.8,10,10.580900192260742,10.60599136352539,185.42401123046875,0.25982898473739624,120,,
L1+L5_base,3,0.05,0.7,0.6,1,10.567687034606934,10.582560539245605,185.18746948242188,0.2607731223106384,125,,
L1+L5_base,3,0.05,0.7,0.6,3,10.57396125793457,10.580450057983398,185.3521728515625,0.26011574268341064,121,,
L1+L5_base,3,0.05,0.7,0.6,5,10.562744140625,10.566797256469727,184.62579345703125,0.2630152702331543,155,,
L1+L5_base,3,0.05,0.7,0.6,10,10.575465202331543,10.590930938720703,184.99378967285156,0.2615463137626648,137,,
L1+L5_base,3,0.05,0.7,0.7,1,10.555264472961426,10.606139183044434,185.14608764648438,0.2609383463859558,130,,
L1+L5_base,3,0.05,0.7,0.7,3,10.55771255493164,10.595987319946289,184.97439575195312,0.26162368059158325,134,,
L1+L5_base,3,0.05,0.7,0.7,5,10.558089256286621,10.609090805053711,185.6107635498047,0.25908344984054565,158,,
L1+L5_base,3,0.05,0.7,0.7,10,10.565999031066895,10.584030151367188,184.9528045654297,0.26170986890792847,134,,
L1+L5_base,3,0.05,0.7,0.8,1,10.54157829284668,10.559517860412598,184.5147705078125,0.2634584307670593,120,,
L1+L5_base,3,0.05,0.7,0.8,3,10.54245376586914,10.560318946838379,184.596435546875,0.2631324529647827,120,,
L1+L5_base,3,0.05,0.7,0.8,5,10.546545028686523,10.580618858337402,185.06834411621094,0.26124870777130127,157,,
L1+L5_base,3,0.05,0.7,0.8,10,10.539024353027344,10.557769775390625,184.8472900390625,0.2621310353279114,128,,
L1+L5_base,3,0.05,0.8,0.6,1,10.559301376342773,10.60621452331543,185.5107421875,0.259482741355896,138,,
L1+L5_base,3,0.05,0.8,0.6,3,10.565774917602539,10.605422973632812,185.5437469482422,0.2593509554862976,136,,
L1+L5_base,3,0.05,0.8,0.6,5,10.56356430053711,10.60185432434082,185.55259704589844,0.2593156099319458,138,,
L1+L5_base,3,0.05,0.8,0.6,10,10.551172256469727,10.636500358581543,186.6336212158203,0.25500041246414185,203,,
L1+L5_base,3,0.05,0.8,0.7,1,10.546798706054688,10.6004638671875,185.7891387939453,0.25837141275405884,140,,
L1+L5_base,3,0.05,0.8,0.7,3,10.541297912597656,10.607162475585938,185.98681640625,0.2575823664665222,136,,
L1+L5_base,3,0.05,0.8,0.7,5,10.532567977905273,10.588262557983398,185.4568634033203,0.2596977949142456,189,,
L1+L5_base,3,0.05,0.8,0.7,10,10.51734447479248,10.6088285446167,186.19569396972656,0.2567485570907593,189,,
L1+L5_base,3,0.05,0.8,0.8,1,10.52731704711914,10.576971054077148,185.2791290283203,0.2604072690010071,203,,
L1+L5_base,3,0.05,0.8,0.8,3,10.540163040161133,10.588135719299316,185.73135375976562,0.2586020827293396,203,,
L1+L5_base,3,0.05,0.8,0.8,5,10.551337242126465,10.592206954956055,185.7006378173828,0.2587246894836426,203,,
L1+L5_base,3,0.05,0.8,0.8,10,10.541306495666504,10.584162712097168,185.8688507080078,0.2580532431602478,204,,
L1+L5_base,4,0.005,0.6,0.6,1,10.544572830200195,10.56633472442627,184.41661071777344,0.26385027170181274,1066,,
L1+L5_base,4,0.005,0.6,0.6,3,10.546411514282227,10.570087432861328,184.4343719482422,0.26377934217453003,975,,
L1+L5_base,4,0.005,0.6,0.6,5,10.54378890991211,10.562223434448242,184.31307983398438,0.2642635107040405,1126,,
L1+L5_base,4,0.005,0.6,0.6,10,10.55945873260498,10.565451622009277,184.31634521484375,0.2642504572868347,974,,
L1+L5_base,4,0.005,0.6,0.7,1,10.552888870239258,10.569540023803711,184.82754516601562,0.2622098922729492,835,,
L1+L5_base,4,0.005,0.6,0.7,3,10.552644729614258,10.57352066040039,184.96560668945312,0.26165878772735596,838,,
L1+L5_base,4,0.005,0.6,0.7,5,10.547698974609375,10.566156387329102,184.763916015625,0.26246386766433716,835,,
L1+L5_base,4,0.005,0.6,0.7,10,10.553969383239746,10.559282302856445,184.45230102539062,0.26370781660079956,937,,
L1+L5_base,4,0.005,0.6,0.8,1,10.5606107711792,10.577975273132324,185.14183044433594,0.2609553337097168,723,,
L1+L5_base,4,0.005,0.6,0.8,3,10.56287956237793,10.57623291015625,185.2501220703125,0.2605230212211609,732,,
L1+L5_base,4,0.005,0.6,0.8,5,10.534263610839844,10.575319290161133,185.07302856445312,0.261229932308197,1136,,
L1+L5_base,4,0.005,0.6,0.8,10,10.561948776245117,10.573521614074707,184.9491729736328,0.26172441244125366,720,,
L1+L5_base,4,0.005,0.7,0.6,1,10.549328804016113,10.559146881103516,184.79165649414062,0.2623531222343445,932,,
L1+L5_base,4,0.005,0.7,0.6,3,10.549086570739746,10.563899993896484,184.8188018798828,0.2622448205947876,932,,
L1+L5_base,4,0.005,0.7,0.6,5,10.544374465942383,10.553900718688965,184.499755859375,0.2635183334350586,1041,,
L1+L5_base,4,0.005,0.7,0.6,10,10.546547889709473,10.562185287475586,184.61456298828125,0.2630600333213806,932,,
L1+L5_base,4,0.005,0.7,0.7,1,10.546216011047363,10.565400123596191,184.98361206054688,0.26158690452575684,931,,
L1+L5_base,4,0.005,0.7,0.7,3,10.546730995178223,10.566754341125488,185.06529235839844,0.26126086711883545,952,,
L1+L5_base,4,0.005,0.7,0.7,5,10.546576499938965,10.566944122314453,185.10052490234375,0.2611202001571655,931,,
L1+L5_base,4,0.005,0.7,0.7,10,10.550131797790527,10.563931465148926,184.73768615722656,0.2625685930252075,931,,
L1+L5_base,4,0.005,0.7,0.8,1,10.550604820251465,10.571228981018066,184.98599243164062,0.2615773677825928,921,,
L1+L5_base,4,0.005,0.7,0.8,3,10.552289962768555,10.570637702941895,184.9702606201172,0.26164019107818604,927,,
L1+L5_base,4,0.005,0.7,0.8,5,10.549447059631348,10.570144653320312,184.96157836914062,0.26167482137680054,921,,
L1+L5_base,4,0.005,0.7,0.8,10,10.560029029846191,10.574422836303711,184.98353576660156,0.2615872025489807,923,,
L1+L5_base,4,0.005,0.8,0.6,1,10.545011520385742,10.579328536987305,185.16282653808594,0.2608715295791626,1023,,
L1+L5_base,4,0.005,0.8,0.6,3,10.548646926879883,10.584491729736328,185.34207153320312,0.2601560354232788,1023,,
L1+L5_base,4,0.005,0.8,0.6,5,10.551287651062012,10.582724571228027,185.25697326660156,0.26049572229385376,856,,
L1+L5_base,4,0.005,0.8,0.6,10,10.54229736328125,10.583003997802734,185.339111328125,0.26016783714294434,1168,,
L1+L5_base,4,0.005,0.8,0.7,1,10.545339584350586,10.582501411437988,185.48997497558594,0.25956565141677856,856,,
L1+L5_base,4,0.005,0.8,0.7,3,10.550475120544434,10.587212562561035,185.5486297607422,0.25933146476745605,852,,
L1+L5_base,4,0.005,0.8,0.7,5,10.548702239990234,10.585854530334473,185.54031372070312,0.25936466455459595,856,,
L1+L5_base,4,0.005,0.8,0.7,10,10.55842399597168,10.586358070373535,185.52772521972656,0.2594149112701416,707,,
L1+L5_base,4,0.005,0.8,0.8,1,10.562850952148438,10.587767601013184,185.53257751464844,0.2593955397605896,856,,
L1+L5_base,4,0.005,0.8,0.8,3,10.572196960449219,10.592874526977539,185.62567138671875,0.25902390480041504,713,,
