config_idx,nn_hidden_dims,nn_lr,nn_dropout,nn_weight_decay,nn_batch_size,val_mae,val_mse,test_mae,test_mse,test_r2,nn_activation,nn_use_residual
741,"(256, 128, 64, 32)",0.0003,0.3,0.0001,64,10.561473846435547,186.18258666992188,10.552248001098633,183.1544189453125,0.26888859272003174,,
742,"(256, 128, 64, 32)",0.0003,0.3,0.0001,128,10.554850578308105,185.95449829101562,10.511669158935547,182.7885284423828,0.2703491449356079,,
743,"(256, 128, 64, 32)",0.0003,0.3,0.0001,256,10.578362464904785,187.0692596435547,10.49948787689209,182.6208953857422,0.2710183262825012,,
744,"(256, 128, 64, 32)",0.0003,0.3,0.001,64,10.536371231079102,186.0970916748047,10.51189136505127,182.40850830078125,0.2718661427497864,,
745,"(256, 128, 64, 32)",0.0003,0.3,0.001,128,10.5589599609375,186.1372528076172,10.505187034606934,182.74551391601562,0.2705209255218506,,
746,"(256, 128, 64, 32)",0.0003,0.3,0.001,256,10.579407691955566,187.07373046875,10.499293327331543,182.6114501953125,0.27105605602264404,,
747,"(256, 128, 64, 32)",0.0003,0.4,1e-05,64,10.530903816223145,185.6483612060547,10.518681526184082,182.9317626953125,0.26977741718292236,,
748,"(256, 128, 64, 32)",0.0003,0.4,1e-05,128,10.549588203430176,186.20191955566406,10.504368782043457,182.4546661376953,0.27168190479278564,,
749,"(256, 128, 64, 32)",0.0003,0.4,1e-05,256,10.56834602355957,186.4248504638672,10.539565086364746,183.40951538085938,0.26787036657333374,,
750,"(256, 128, 64, 32)",0.0003,0.4,0.0001,64,10.529253005981445,185.4698028564453,10.52430534362793,183.0075225830078,0.26947498321533203,,
751,"(256, 128, 64, 32)",0.0003,0.4,0.0001,128,10.545075416564941,186.21385192871094,10.507960319519043,182.51089477539062,0.2714574337005615,,
752,"(256, 128, 64, 32)",0.0003,0.4,0.0001,256,10.566944122314453,186.40396118164062,10.541200637817383,183.3971405029297,0.26791971921920776,,
753,"(256, 128, 64, 32)",0.0003,0.4,0.001,64,10.523965835571289,185.46832275390625,10.51248550415039,182.7802734375,0.2703821063041687,,
754,"(256, 128, 64, 32)",0.0003,0.4,0.001,128,10.536481857299805,186.2097930908203,10.555355072021484,183.9091796875,0.26587575674057007,,
755,"(256, 128, 64, 32)",0.0003,0.4,0.001,256,10.571935653686523,186.63063049316406,10.541824340820312,183.33868408203125,0.2681530714035034,,
756,"(256, 128, 64, 32)",0.0003,0.5,1e-05,64,10.537245750427246,185.20855712890625,10.502066612243652,182.54551696777344,0.27131927013397217,,
757,"(256, 128, 64, 32)",0.0003,0.5,1e-05,128,10.533512115478516,185.32937622070312,10.534517288208008,183.1729278564453,0.2688148021697998,,
758,"(256, 128, 64, 32)",0.0003,0.5,1e-05,256,10.559965133666992,185.76808166503906,10.513787269592285,182.6951141357422,0.27072209119796753,,
759,"(256, 128, 64, 32)",0.0003,0.5,0.0001,64,10.528923034667969,185.19601440429688,10.533288955688477,183.4027099609375,0.2678975462913513,,
760,"(256, 128, 64, 32)",0.0003,0.5,0.0001,128,10.535935401916504,185.32041931152344,10.528705596923828,183.02444458007812,0.2694074511528015,,
761,"(256, 128, 64, 32)",0.0003,0.5,0.0001,256,10.560547828674316,185.7899627685547,10.514684677124023,182.6977996826172,0.27071136236190796,,
762,"(256, 128, 64, 32)",0.0003,0.5,0.001,64,10.53882122039795,185.29359436035156,10.502799987792969,182.59625244140625,0.2711167335510254,,
763,"(256, 128, 64, 32)",0.0003,0.5,0.001,128,10.536555290222168,185.26914978027344,10.534221649169922,183.1314239501953,0.26898038387298584,,
764,"(256, 128, 64, 32)",0.0003,0.5,0.001,256,10.559978485107422,185.7546844482422,10.514070510864258,182.71047973632812,0.2706606984138489,,
765,"(256, 128, 64, 32)",0.0005,0.1,1e-05,64,10.558087348937988,185.86077880859375,10.50366497039795,182.4038543701172,0.2718847393989563,,
766,"(256, 128, 64, 32)",0.0005,0.1,1e-05,128,10.578076362609863,186.80043029785156,10.513513565063477,183.25326538085938,0.2684940695762634,,
767,"(256, 128, 64, 32)",0.0005,0.1,1e-05,256,10.568888664245605,185.62486267089844,10.557997703552246,183.42315673828125,0.26781588792800903,,
768,"(256, 128, 64, 32)",0.0005,0.1,0.0001,64,10.563396453857422,186.09939575195312,10.503083229064941,182.38722229003906,0.2719511389732361,,
769,"(256, 128, 64, 32)",0.0005,0.1,0.0001,128,10.581075668334961,186.83859252929688,10.514963150024414,183.07997131347656,0.26918578147888184,,
770,"(256, 128, 64, 32)",0.0005,0.1,0.0001,256,10.570575714111328,185.587646484375,10.562798500061035,183.54627990722656,0.26732444763183594,,
771,"(256, 128, 64, 32)",0.0005,0.1,0.001,64,10.576754570007324,186.26487731933594,10.583724021911621,183.95021057128906,0.26571202278137207,,
772,"(256, 128, 64, 32)",0.0005,0.1,0.001,128,10.573346138000488,186.69760131835938,10.508890151977539,183.1467742919922,0.2689191699028015,,
773,"(256, 128, 64, 32)",0.0005,0.1,0.001,256,10.570388793945312,185.59432983398438,10.563155174255371,183.56268310546875,0.2672589421272278,,
774,"(256, 128, 64, 32)",0.0005,0.2,1e-05,64,10.541596412658691,185.8568878173828,10.526175498962402,183.21640014648438,0.26864123344421387,,
775,"(256, 128, 64, 32)",0.0005,0.2,1e-05,128,10.54812240600586,185.49258422851562,10.53198528289795,183.1907958984375,0.26874345541000366,,
776,"(256, 128, 64, 32)",0.0005,0.2,1e-05,256,10.577092170715332,185.74501037597656,10.581573486328125,184.26939392089844,0.2644379138946533,,
777,"(256, 128, 64, 32)",0.0005,0.2,0.0001,64,10.54246711730957,185.77854919433594,10.530221939086914,183.15541076660156,0.26888471841812134,,
778,"(256, 128, 64, 32)",0.0005,0.2,0.0001,128,10.549920082092285,185.54632568359375,10.52993106842041,183.11288452148438,0.2690544128417969,,
779,"(256, 128, 64, 32)",0.0005,0.2,0.0001,256,10.577374458312988,185.7756805419922,10.58169174194336,184.2865753173828,0.26436930894851685,,
780,"(256, 128, 64, 32)",0.0005,0.2,0.001,64,10.539864540100098,185.61341857910156,10.51579761505127,183.0186767578125,0.2694305181503296,,
781,"(256, 128, 64, 32)",0.0005,0.2,0.001,128,10.550236701965332,185.5720977783203,10.529168128967285,183.09457397460938,0.2691274881362915,,
782,"(256, 128, 64, 32)",0.0005,0.2,0.001,256,10.57779312133789,185.77342224121094,10.582448959350586,184.31793212890625,0.2642441391944885,,
783,"(256, 128, 64, 32)",0.0005,0.3,1e-05,64,10.526625633239746,185.30239868164062,10.529196739196777,183.23887634277344,0.26855146884918213,,
784,"(256, 128, 64, 32)",0.0005,0.3,1e-05,128,10.549312591552734,185.99046325683594,10.526325225830078,183.77879333496094,0.26639628410339355,,
785,"(256, 128, 64, 32)",0.0005,0.3,1e-05,256,10.546777725219727,185.94993591308594,10.536744117736816,183.27684020996094,0.2683999538421631,,
786,"(256, 128, 64, 32)",0.0005,0.3,0.0001,64,10.524593353271484,185.4669647216797,10.526050567626953,183.1881561279297,0.26875394582748413,,
787,"(256, 128, 64, 32)",0.0005,0.3,0.0001,128,10.55344295501709,185.8224334716797,10.519881248474121,183.68746948242188,0.26676082611083984,,
788,"(256, 128, 64, 32)",0.0005,0.3,0.0001,256,10.545882225036621,185.88145446777344,10.537934303283691,183.29080200195312,0.2683442234992981,,
789,"(256, 128, 64, 32)",0.0005,0.3,0.001,64,10.53063678741455,185.5326690673828,10.526883125305176,182.79722595214844,0.27031445503234863,,
790,"(256, 128, 64, 32)",0.0005,0.3,0.001,128,10.549864768981934,185.9862518310547,10.519669532775879,183.6443634033203,0.2669329047203064,,
791,"(256, 128, 64, 32)",0.0005,0.3,0.001,256,10.54519271850586,185.898193359375,10.539883613586426,183.32723999023438,0.26819872856140137,,
792,"(256, 128, 64, 32)",0.0005,0.4,1e-05,64,10.51059627532959,185.16357421875,10.510041236877441,182.3633575439453,0.27204638719558716,,
793,"(256, 128, 64, 32)",0.0005,0.4,1e-05,128,10.558114051818848,185.67922973632812,10.57101058959961,183.883056640625,0.265980064868927,,
794,"(256, 128, 64, 32)",0.0005,0.4,1e-05,256,10.554179191589355,186.13726806640625,10.560892105102539,183.7113037109375,0.2666656970977783,,
795,"(256, 128, 64, 32)",0.0005,0.4,0.0001,64,10.498858451843262,184.83226013183594,10.495104789733887,182.07943725585938,0.27317970991134644,,
796,"(256, 128, 64, 32)",0.0005,0.4,0.0001,128,10.557966232299805,185.6699676513672,10.569857597351074,183.84242248535156,0.26614224910736084,,
797,"(256, 128, 64, 32)",0.0005,0.4,0.0001,256,10.55424690246582,186.1360321044922,10.560811996459961,183.70974731445312,0.26667189598083496,,
798,"(256, 128, 64, 32)",0.0005,0.4,0.001,64,10.525176048278809,185.2589111328125,10.543292045593262,183.2146759033203,0.26864808797836304,,
799,"(256, 128, 64, 32)",0.0005,0.4,0.001,128,10.55545711517334,185.66415405273438,10.568148612976074,183.75851440429688,0.26647722721099854,,
800,"(256, 128, 64, 32)",0.0005,0.4,0.001,256,10.551786422729492,186.099365234375,10.557525634765625,183.64431762695312,0.26693302392959595,,
801,"(256, 128, 64, 32)",0.0005,0.5,1e-05,64,10.534640312194824,185.13685607910156,10.501200675964355,182.67918395996094,0.27078568935394287,,
802,"(256, 128, 64, 32)",0.0005,0.5,1e-05,128,10.539316177368164,185.4965362548828,10.507999420166016,182.6591339111328,0.2708657383918762,,
