max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_r2,trees
3,0.02,0.8,0.8,10,9.470185279846191,9.47575855255127,0.3729228377342224,374
3,0.03,0.6,0.6,1,9.531482696533203,9.53111457824707,0.36747217178344727,273
3,0.03,0.6,0.6,3,9.514013290405273,9.548523902893066,0.36803603172302246,270
3,0.03,0.6,0.6,5,9.511689186096191,9.554408073425293,0.3671337366104126,270
3,0.03,0.6,0.6,10,9.506464958190918,9.550383567810059,0.36705905199050903,273
3,0.03,0.6,0.7,1,9.509081840515137,9.525212287902832,0.3701598048210144,241
3,0.03,0.6,0.7,3,9.480490684509277,9.531545639038086,0.3718484044075012,283
3,0.03,0.6,0.7,5,9.484662055969238,9.537123680114746,0.3688444495201111,241
3,0.03,0.6,0.7,10,9.476927757263184,9.556578636169434,0.3681463599205017,257
3,0.03,0.6,0.8,1,9.500380516052246,9.52723217010498,0.36718469858169556,235
3,0.03,0.6,0.8,3,9.48080062866211,9.526162147521973,0.3696863055229187,273
3,0.03,0.6,0.8,5,9.47626781463623,9.55929183959961,0.36613208055496216,270
3,0.03,0.6,0.8,10,9.463993072509766,9.54522705078125,0.36744189262390137,270
3,0.03,0.7,0.6,1,9.504347801208496,9.544106483459473,0.3662668466567993,205
3,0.03,0.7,0.6,3,9.488384246826172,9.533379554748535,0.3677850365638733,206
3,0.03,0.7,0.6,5,9.470995903015137,9.513249397277832,0.3703344464302063,316
3,0.03,0.7,0.6,10,9.501285552978516,9.564020156860352,0.3663196563720703,205
3,0.03,0.7,0.7,1,9.488447189331055,9.541671752929688,0.36638522148132324,206
3,0.03,0.7,0.7,3,9.483805656433105,9.53298282623291,0.36741089820861816,205
3,0.03,0.7,0.7,5,9.433333396911621,9.51197338104248,0.3697105646133423,316
3,0.03,0.7,0.7,10,9.480342864990234,9.526957511901855,0.36930274963378906,280
3,0.03,0.7,0.8,1,9.432509422302246,9.5239896774292,0.3686850666999817,273
3,0.03,0.7,0.8,3,9.423884391784668,9.542868614196777,0.36710023880004883,284
3,0.03,0.7,0.8,5,9.440214157104492,9.535584449768066,0.3679320216178894,273
3,0.03,0.7,0.8,10,9.468024253845215,9.545966148376465,0.3679329752922058,237
3,0.03,0.8,0.6,1,9.510945320129395,9.554207801818848,0.36440587043762207,239
3,0.03,0.8,0.6,3,9.495304107666016,9.546173095703125,0.36604756116867065,256
3,0.03,0.8,0.6,5,9.513029098510742,9.553470611572266,0.36351966857910156,290
3,0.03,0.8,0.6,10,9.487906455993652,9.524365425109863,0.3663444519042969,256
3,0.03,0.8,0.7,1,9.477741241455078,9.547082901000977,0.36482638120651245,311
3,0.03,0.8,0.7,3,9.491890907287598,9.53143310546875,0.3684370517730713,239
3,0.03,0.8,0.7,5,9.474350929260254,9.522995948791504,0.3670375347137451,290
3,0.03,0.8,0.7,10,9.481078147888184,9.502663612365723,0.36963599920272827,237
3,0.03,0.8,0.8,1,9.458497047424316,9.520769119262695,0.3692705035209656,241
3,0.03,0.8,0.8,3,9.455742835998535,9.515283584594727,0.3694332242012024,241
3,0.03,0.8,0.8,5,9.466580390930176,9.50903034210205,0.3710406422615051,241
3,0.03,0.8,0.8,10,9.44573974609375,9.524852752685547,0.3691447377204895,290
3,0.05,0.6,0.6,1,9.518878936767578,9.562618255615234,0.36634141206741333,127
3,0.05,0.6,0.6,3,9.525378227233887,9.576105117797852,0.3641255497932434,127
3,0.05,0.6,0.6,5,9.504610061645508,9.556426048278809,0.3661906123161316,186
3,0.05,0.6,0.6,10,9.485756874084473,9.586413383483887,0.3645925521850586,212
3,0.05,0.6,0.7,1,9.494791030883789,9.528373718261719,0.36759161949157715,133
3,0.05,0.6,0.7,3,9.505433082580566,9.518787384033203,0.3675973415374756,118
