hidden_dims,lr,dropout,weight_decay,batch_size,val_mae,test_mae,test_r2
"(128, 64)",0.0005,0.4,1e-05,128,9.408760070800781,9.4429931640625,0.3767748475074768
"(128, 64)",0.0005,0.4,1e-05,256,9.368703842163086,9.43834114074707,0.37632161378860474
"(128, 64)",0.0005,0.4,0.0001,64,9.36684513092041,9.458417892456055,0.3765592575073242
"(128, 64)",0.0005,0.4,0.0001,128,9.357965469360352,9.474621772766113,0.3743234872817993
"(128, 64)",0.0005,0.4,0.0001,256,9.365221977233887,9.434638977050781,0.3761431574821472
"(128, 64)",0.0005,0.4,0.001,64,9.369068145751953,9.411737442016602,0.3760439157485962
"(128, 64)",0.0005,0.4,0.001,128,9.364789009094238,9.49605941772461,0.3735004663467407
"(128, 64)",0.0005,0.4,0.001,256,9.365303993225098,9.437821388244629,0.3760372996330261
"(128, 64)",0.0005,0.5,1e-05,64,9.273443222045898,9.408317565917969,0.3806403875350952
"(128, 64)",0.0005,0.5,1e-05,128,9.315023422241211,9.42266845703125,0.3761690855026245
"(128, 64)",0.0005,0.5,1e-05,256,9.35192584991455,9.407506942749023,0.3783750534057617
"(128, 64)",0.0005,0.5,0.0001,64,9.260453224182129,9.40470027923584,0.38130688667297363
"(128, 64)",0.0005,0.5,0.0001,128,9.30881404876709,9.426983833312988,0.3759232759475708
"(128, 64)",0.0005,0.5,0.0001,256,9.342963218688965,9.411216735839844,0.3776320219039917
"(128, 64)",0.0005,0.5,0.001,64,9.285255432128906,9.39748764038086,0.381436288356781
"(128, 64)",0.0005,0.5,0.001,128,9.322123527526855,9.425865173339844,0.3756101131439209
"(128, 64)",0.0005,0.5,0.001,256,9.350882530212402,9.412824630737305,0.3779679536819458
"(128, 64)",0.001,0.2,1e-05,64,9.382457733154297,9.529592514038086,0.3687272071838379
"(128, 64)",0.001,0.2,1e-05,128,9.41405963897705,9.432096481323242,0.3710559606552124
"(128, 64)",0.001,0.2,1e-05,256,9.33050537109375,9.469841957092285,0.373640239238739
"(128, 64)",0.001,0.2,0.0001,64,9.393052101135254,9.512455940246582,0.3679559826850891
"(128, 64)",0.001,0.2,0.0001,128,9.409172058105469,9.4314546585083,0.37094229459762573
"(128, 64)",0.001,0.2,0.0001,256,9.331934928894043,9.477753639221191,0.37344783544540405
"(128, 64)",0.001,0.2,0.001,64,9.395975112915039,9.52782917022705,0.36883193254470825
"(128, 64)",0.001,0.2,0.001,128,9.40932559967041,9.445760726928711,0.3702738881111145
"(128, 64)",0.001,0.2,0.001,256,9.351958274841309,9.483189582824707,0.3725944757461548
"(128, 64)",0.001,0.3,1e-05,64,9.340413093566895,9.506306648254395,0.37104982137680054
"(128, 64)",0.001,0.3,1e-05,128,9.373167037963867,9.485332489013672,0.3757520914077759
"(128, 64)",0.001,0.3,1e-05,256,9.373351097106934,9.394267082214355,0.3871868848800659
"(128, 64)",0.001,0.3,0.0001,64,9.326559066772461,9.489309310913086,0.3728982210159302
"(128, 64)",0.001,0.3,0.0001,128,9.35749626159668,9.49290943145752,0.37508130073547363
"(128, 64)",0.001,0.3,0.0001,256,9.372241973876953,9.39593505859375,0.38715696334838867
"(128, 64)",0.001,0.3,0.001,64,9.340486526489258,9.49428653717041,0.3712160587310791
"(128, 64)",0.001,0.3,0.001,128,9.36638355255127,9.488778114318848,0.37579435110092163
"(128, 64)",0.001,0.3,0.001,256,9.373333930969238,9.397831916809082,0.3867727518081665
"(128, 64)",0.001,0.4,1e-05,64,9.34814739227295,9.388309478759766,0.38228362798690796
"(128, 64)",0.001,0.4,1e-05,128,9.379670143127441,9.437684059143066,0.3793513774871826
"(128, 64)",0.001,0.4,1e-05,256,9.412940979003906,9.49764347076416,0.37592601776123047
"(128, 64)",0.001,0.4,0.0001,64,9.354594230651855,9.453989028930664,0.3773433566093445
"(128, 64)",0.001,0.4,0.0001,128,9.371208190917969,9.55051326751709,0.37466686964035034
"(128, 64)",0.001,0.4,0.0001,256,9.388822555541992,9.444143295288086,0.3810458779335022
"(128, 64)",0.001,0.4,0.001,64,9.349662780761719,9.411972045898438,0.38016754388809204
"(128, 64)",0.001,0.4,0.001,128,9.392830848693848,9.54571533203125,0.3749600052833557
"(128, 64)",0.001,0.4,0.001,256,9.382335662841797,9.449991226196289,0.38053280115127563
"(128, 64)",0.001,0.5,1e-05,64,9.281243324279785,9.454720497131348,0.370236873626709
"(128, 64)",0.001,0.5,1e-05,128,9.310125350952148,9.50841999053955,0.37439435720443726
"(128, 64)",0.001,0.5,1e-05,256,9.347403526306152,9.459752082824707,0.37828677892684937
"(128, 64)",0.001,0.5,0.0001,64,9.270698547363281,9.42758846282959,0.3733099102973938
"(128, 64)",0.001,0.5,0.0001,128,9.395662307739258,9.425358772277832,0.3766942024230957
"(128, 64)",0.001,0.5,0.0001,256,9.345173835754395,9.456719398498535,0.37763381004333496
"(128, 64)",0.001,0.5,0.001,64,9.273320198059082,9.484604835510254,0.3684535026550293
"(128, 64)",0.001,0.5,0.001,128,9.31032943725586,9.484189987182617,0.3775783181190491
"(128, 64)",0.001,0.5,0.001,256,9.35464096069336,9.47176742553711,0.37629473209381104
"(128, 64)",0.002,0.2,1e-05,64,9.319294929504395,9.524506568908691,0.3700440526008606
"(128, 64)",0.002,0.2,1e-05,128,9.289363861083984,9.480026245117188,0.371925413608551
"(128, 64)",0.002,0.2,1e-05,256,9.422039031982422,9.525654792785645,0.3680189847946167
"(128, 64)",0.002,0.2,0.0001,64,9.325199127197266,9.516241073608398,0.3707330822944641
"(128, 64)",0.002,0.2,0.0001,128,9.29284954071045,9.490201950073242,0.37053006887435913
"(128, 64)",0.002,0.2,0.0001,256,9.417590141296387,9.527063369750977,0.367667555809021
"(128, 64)",0.002,0.2,0.001,64,9.330306053161621,9.55616569519043,0.36872202157974243
"(128, 64)",0.002,0.2,0.001,128,9.29891586303711,9.480639457702637,0.3719099164009094
"(128, 64)",0.002,0.2,0.001,256,9.428598403930664,9.535706520080566,0.36624962091445923
"(128, 64)",0.002,0.3,1e-05,64,9.337610244750977,9.537145614624023,0.36961090564727783
"(128, 64)",0.002,0.3,1e-05,128,9.428080558776855,9.521951675415039,0.3654019832611084
"(128, 64)",0.002,0.3,1e-05,256,9.37645149230957,9.580497741699219,0.3669956922531128
"(128, 64)",0.002,0.3,0.0001,64,9.409067153930664,9.461723327636719,0.3669593334197998
"(128, 64)",0.002,0.3,0.0001,128,9.44646167755127,9.469138145446777,0.36807721853256226
"(128, 64)",0.002,0.3,0.0001,256,9.373250961303711,9.589808464050293,0.36522775888442993
"(128, 64)",0.002,0.3,0.001,64,9.358078956604004,9.538313865661621,0.36888062953948975
"(128, 64)",0.002,0.3,0.001,128,9.407082557678223,9.494011878967285,0.3680635690689087
"(128, 64)",0.002,0.3,0.001,256,9.357831001281738,9.575276374816895,0.36746883392333984
"(128, 64)",0.002,0.4,1e-05,64,9.384647369384766,9.517425537109375,0.37399590015411377
"(128, 64)",0.002,0.4,1e-05,128,9.382176399230957,9.573792457580566,0.3757361173629761
"(128, 64)",0.002,0.4,1e-05,256,9.363359451293945,9.527063369750977,0.37124747037887573
"(128, 64)",0.002,0.4,0.0001,64,9.378522872924805,9.452624320983887,0.37875092029571533
"(128, 64)",0.002,0.4,0.0001,128,9.363408088684082,9.486023902893066,0.3692476749420166
"(128, 64)",0.002,0.4,0.0001,256,9.39859390258789,9.492508888244629,0.3738090395927429
"(128, 64)",0.002,0.4,0.001,64,9.384285926818848,9.51629638671875,0.36352914571762085
"(128, 64)",0.002,0.4,0.001,128,9.351530075073242,9.535431861877441,0.3767763376235962
"(128, 64)",0.002,0.4,0.001,256,9.383149147033691,9.488961219787598,0.3734666705131531
"(128, 64)",0.002,0.5,1e-05,64,9.347854614257812,9.468894004821777,0.3770141005516052
"(128, 64)",0.002,0.5,1e-05,128,9.413042068481445,9.50670051574707,0.3716787099838257
"(128, 64)",0.002,0.5,1e-05,256,9.370882987976074,9.514569282531738,0.3728412985801697
"(128, 64)",0.002,0.5,0.0001,64,9.36370849609375,9.448441505432129,0.37858039140701294
"(128, 64)",0.002,0.5,0.0001,128,9.413493156433105,9.476736068725586,0.37426888942718506
"(128, 64)",0.002,0.5,0.0001,256,9.349946022033691,9.523707389831543,0.37163782119750977
"(128, 64)",0.002,0.5,0.001,64,9.35426139831543,9.430741310119629,0.38102561235427856
"(128, 64)",0.002,0.5,0.001,128,9.41804313659668,9.508170127868652,0.38047802448272705
"(128, 64)",0.002,0.5,0.001,256,9.335277557373047,9.552433013916016,0.36848336458206177
"(128, 64, 32)",0.0005,0.2,1e-05,64,9.285128593444824,9.403576850891113,0.371382474899292
"(128, 64, 32)",0.0005,0.2,1e-05,128,9.33289623260498,9.480826377868652,0.36927783489227295
"(128, 64, 32)",0.0005,0.2,1e-05,256,9.325404167175293,9.441527366638184,0.37370920181274414
"(128, 64, 32)",0.0005,0.2,0.0001,64,9.289426803588867,9.403566360473633,0.371728777885437
"(128, 64, 32)",0.0005,0.2,0.0001,128,9.33417797088623,9.481186866760254,0.36924105882644653
"(128, 64, 32)",0.0005,0.2,0.0001,256,9.322482109069824,9.443239212036133,0.3735384941101074
"(128, 64, 32)",0.0005,0.2,0.001,64,9.268013954162598,9.395228385925293,0.3712393045425415
"(128, 64, 32)",0.0005,0.2,0.001,128,9.325300216674805,9.467516899108887,0.3705851435661316
"(128, 64, 32)",0.0005,0.2,0.001,256,9.32104778289795,9.44010066986084,0.37382978200912476
"(128, 64, 32)",0.0005,0.3,1e-05,64,9.35132122039795,9.431661605834961,0.3769758343696594
"(128, 64, 32)",0.0005,0.3,1e-05,128,9.246232032775879,9.460278511047363,0.36668187379837036
"(128, 64, 32)",0.0005,0.3,1e-05,256,9.337703704833984,9.409208297729492,0.37734419107437134
"(128, 64, 32)",0.0005,0.3,0.0001,64,9.346758842468262,9.427834510803223,0.37721776962280273
"(128, 64, 32)",0.0005,0.3,0.0001,128,9.256500244140625,9.441915512084961,0.36808711290359497
