GAME_ID,HOME_TEAM_ID,HOME_REST_DAYS,HOME_IS_B2B,HOME_GAMES_IN_LAST_7,HOME_WIN_STREAK,HOME_GAME_NUMBER,HOME_CONSECUTIVE_AWAY,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_OVERALL_WIN_PCT,AWAY_TEAM_ID,AWAY_REST_DAYS,AWAY_IS_B2B,AWAY_GAMES_IN_LAST_7,AWAY_WIN_STREAK,AWAY_GAME_NUMBER,AWAY_CONSECUTIVE_AWAY,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_OVERALL_WIN_PCT,REST_ADVANTAGE,DIFF_WIN_STREAK,DIFF_GAMES_IN_LAST_7,DIFF_GAME_NUMBER,DIFF_OVERALL_WIN_PCT,HOME_ADV,SEASON,POINT_DIFF
21500984,1610612737,1,1,3,1,67,0,0.625,0.5,0.5606060606060606,1610612754,1,1,2,3,66,2,0.6333333333333333,0.45714285714285713,0.5384615384615384,0,-2,1,1,0.022144522144522116,1.0,2015-16,29
21501015,1610612737,1,1,3,3,69,0,0.6363636363636364,0.5142857142857142,0.5735294117647058,1610612743,2,0,3,-2,69,3,0.45714285714285713,0.36363636363636365,0.4117647058823529,-1,5,0,0,0.16176470588235292,1.0,2015-16,18
21501029,1610612737,2,0,3,4,70,0,0.6470588235294118,0.5142857142857142,0.5797101449275363,1610612745,1,1,3,1,70,1,0.5588235294117647,0.45714285714285713,0.5072463768115942,1,3,0,0,0.07246376811594202,1.0,2015-16,12
21501048,1610612737,2,0,3,5,71,0,0.6571428571428571,0.5142857142857142,0.5857142857142857,1610612764,2,0,3,4,70,1,0.5277777777777778,0.45454545454545453,0.4927536231884058,0,1,0,1,0.09296066252587992,1.0,2015-16,-15
21501076,1610612737,2,0,3,1,73,0,0.6388888888888888,0.5277777777777778,0.5833333333333334,1610612749,2,0,3,-3,73,3,0.6,0.24324324324324326,0.4166666666666667,0,4,0,0,0.16666666666666669,1.0,2015-16,11
21501131,1610612737,2,0,3,-1,77,0,0.6486486486486487,0.5384615384615384,0.5921052631578947,1610612739,1,1,3,1,76,1,0.8157894736842105,0.5945945945945946,0.7066666666666667,1,-2,0,1,-0.11456140350877198,1.0,2015-16,-2
21501157,1610612737,4,0,2,-2,78,0,0.631578947368421,0.5384615384615384,0.5844155844155844,1610612756,2,0,3,-6,78,1,0.3333333333333333,0.18421052631578946,0.2597402597402597,2,4,-1,0,0.3246753246753247,1.0,2015-16,13
21501173,1610612737,2,0,2,1,79,0,0.6410256410256411,0.5384615384615384,0.5897435897435898,1610612761,2,0,3,1,78,1,0.7692307692307693,0.5789473684210527,0.6753246753246753,0,0,-1,1,-0.08558108558108557,1.0,2015-16,8
21501188,1610612737,2,0,2,2,80,0,0.65,0.5384615384615384,0.5949367088607594,1610612738,1,1,3,4,80,1,0.6923076923076923,0.5,0.5949367088607594,1,-2,-1,0,0.0,1.0,2015-16,11
21600014,1610612737,7,0,0,0,1,0,0.5,0.5,0.5,1610612764,7,0,0,0,1,1,0.5,0.5,0.5,0,0,0,0,0.0,1.0,2016-17,15
21600044,1610612737,2,0,2,2,3,0,1.0,1.0,1.0,1610612758,2,0,3,1,4,1,0.5,1.0,0.6666666666666666,0,1,-1,-1,0.33333333333333337,1.0,2016-17,11
21600059,1610612737,2,0,3,3,4,0,1.0,1.0,1.0,1610612747,1,1,3,-3,5,4,1.0,0.0,0.25,1,6,0,-1,0.75,1.0,2016-17,-7
21600084,1610612737,1,1,3,-2,6,0,0.6666666666666666,0.5,0.6,1610612745,3,0,3,1,6,3,1.0,0.5,0.6,-2,-3,0,0,0.0,1.0,2016-17,15
21600111,1610612737,1,1,3,2,8,0,0.75,0.6666666666666666,0.7142857142857143,1610612741,2,0,3,1,8,1,0.75,0.3333333333333333,0.5714285714285714,-1,1,0,0,0.1428571428571429,1.0,2016-17,8
21600132,1610612737,3,0,2,3,9,0,0.8,0.6666666666666666,0.75,1610612755,1,1,3,1,9,1,0.16666666666666666,0.0,0.125,2,2,-1,0,0.625,1.0,2016-17,21
21600163,1610612737,1,1,2,5,11,0,0.8333333333333334,0.75,0.8,1610612749,4,0,2,1,10,1,0.6666666666666666,0.3333333333333333,0.5555555555555556,-3,4,0,1,0.24444444444444446,1.0,2016-17,7
21600209,1610612737,2,0,3,-2,14,0,0.8571428571428571,0.5,0.6923076923076923,1610612740,3,0,3,2,15,1,0.375,0.16666666666666666,0.2857142857142857,-1,-4,0,-1,0.4065934065934066,1.0,2016-17,-18
21600288,1610612737,2,0,3,-4,20,0,0.75,0.36363636363636365,0.5263157894736842,1610612765,2,0,3,2,21,4,0.7777777777777778,0.2727272727272727,0.5,0,-6,0,-1,0.02631578947368418,1.0,2016-17,-36
